,Cluster_id,size_before,avg_dist_before,size_after,avg_dist_after
count,1663.0,1663.0,1663.0,1663.0,1663.0
mean,1205.749248346362,110.57787131689717,0.43443048076720053,76.29825616355983,0.42610610013060934
std,897.2414250084755,148.2018732203867,0.07173754860196145,104.58864487097237,0.06690090058267134
min,4.0,2.0,0.10107173770666122,2.0,0.12158504873514175
25%,243.0,29.0,0.39072086728254063,14.0,0.387899432578088
50%,1086.0,66.0,0.43859987093285974,38.0,0.43322155973082094
75%,2082.0,137.0,0.480975350367588,101.0,0.4710245895080077
max,2193.0,1686.0,0.9592653512954712,1253.0,0.6579049030939738
